epoch,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
212,0.712688,0.235574,0.477114,103737,5.87664
213,0.711846,0.23553,0.476316,105253,5.80567
214,0.710694,0.235301,0.475393,105752,5.74983
215,0.711686,0.235642,0.476044,106141,5.65749
216,0.711624,0.235476,0.476148,107758,6.0756
217,0.708032,0.234611,0.473421,108683,5.4975
218,0.70997,0.23519,0.47478,109473,6.01176
219,0.707518,0.234491,0.473027,110360,6.55733
220,0.706097,0.234175,0.471922,111337,6.56263
221,0.705909,0.234223,0.471686,112263,6.21875
222,0.706874,0.234412,0.472462,112866,6.2758
223,0.705493,0.233838,0.471655,114089,6.30078
224,0.703595,0.233543,0.470051,115063,6.47199
225,0.703236,0.233613,0.469624,116102,6.39751
226,0.705407,0.233921,0.471486,116669,6.62753
227,0.702432,0.233192,0.46924,117019,5.96657
228,0.702447,0.233315,0.469132,117665,6.23029
229,0.703123,0.233416,0.469706,118470,5.97676
230,0.700271,0.232688,0.467583,120783,6.40385
231,0.699995,0.232713,0.467282,121726,6.70706
232,0.698233,0.232531,0.465702,122355,6.74353
233,0.69969,0.232712,0.466978,122839,6.72512
234,0.698623,0.232644,0.465979,123555,6.75185
235,0.697154,0.232223,0.464931,124648,6.59653
236,0.694959,0.231943,0.463016,125095,6.90191
237,0.698629,0.232597,0.466031,125536,6.94276
238,0.696311,0.231975,0.464336,126104,6.80815
239,0.695549,0.23182,0.463729,128553,7.32173
240,0.695474,0.231836,0.463638,130170,6.67116
241,0.693445,0.231411,0.462035,130668,7.11645
242,0.692253,0.231046,0.461207,131529,7.11959
243,0.693698,0.23143,0.462267,133074,7.70158
244,0.691162,0.230989,0.460173,134059,7.20089
245,0.689492,0.230392,0.4591,136141,7.19684
246,0.691501,0.230841,0.460659,137107,7.44253
247,0.691635,0.230741,0.460894,137942,7.23048
248,0.688526,0.230078,0.458448,138892,7.61494
249,0.690494,0.230526,0.459967,139260,7.49685
250,0.687675,0.229803,0.457873,141006,7.38929
251,0.692141,0.230688,0.461453,142675,7.55496
252,0.687147,0.229712,0.457435,143774,7.62817
253,0.687063,0.229673,0.457391,144399,7.48229
254,0.693061,0.23137,0.461692,145026,8.18345
255,0.684994,0.229321,0.455672,145424,7.66149
256,0.692448,0.230863,0.461585,148283,8.2227
257,0.685566,0.229084,0.456481,149116,7.99418
258,0.684848,0.228771,0.456077,150517,8.37219
259,0.684461,0.228748,0.455713,151102,7.98089
260,0.683616,0.228698,0.454918,153117,8.44552
261,0.684082,0.228573,0.455509,154375,8.47208
262,0.683819,0.228686,0.455133,154771,8.52681
263,0.684668,0.22871,0.455958,156568,8.03514
264,0.681303,0.227896,0.453406,157594,8.21582
265,0.680635,0.22782,0.452814,159567,8.232
266,0.679368,0.227641,0.451727,160694,8.85811
267,0.68136,0.228042,0.453318,161235,8.47697
268,0.680481,0.227692,0.452789,161729,7.87371
269,0.680971,0.227699,0.453272,164458,8.58106
270,0.68061,0.227447,0.453162,165219,8.39706
271,0.679528,0.227327,0.452201,166820,8.9594
272,0.678557,0.22722,0.451337,167793,9.79956
273,0.67703,0.226935,0.450095,169671,8.84118
274,0.67809,0.227021,0.451069,170985,9.31781
275,0.677263,0.226722,0.45054,172324,9.12442
276,0.677943,0.226887,0.451057,173534,8.73267
277,0.677023,0.226523,0.450499,175026,9.08054
278,0.676441,0.226545,0.449896,175649,9.5028
279,0.674055,0.225832,0.448223,177912,9.3867
280,0.677819,0.226694,0.451126,178891,9.47518
281,0.672604,0.225569,0.447035,180751,9.36597
282,0.675259,0.226159,0.449101,181578,10.1631
283,0.671899,0.225514,0.446385,183053,9.27756
284,0.674106,0.226006,0.4481,185070,10.1091
285,0.672972,0.225795,0.447177,185725,9.54588
286,0.672407,0.225498,0.446909,186754,9.81451
287,0.671922,0.225343,0.446579,187443,10.081
288,0.676277,0.22633,0.449947,188331,10.0706
289,0.671208,0.225128,0.44608,188834,10.2163
290,0.670575,0.224953,0.445622,194357,10.3831
291,0.669416,0.224699,0.444717,195136,9.99578
292,0.670539,0.224835,0.445704,195887,10.9727
293,0.66964,0.224606,0.445034,198799,10.2738
294,0.669223,0.224402,0.444821,200000,10.3245
295,0.667235,0.223909,0.443327,200000,10.8297
296,0.665217,0.223586,0.441631,200000,10.2565
297,0.660909,0.222472,0.438438,200000,10.5512
298,0.661347,0.222629,0.438718,200000,10.8689
299,0.660942,0.222405,0.438537,200000,9.68957
