epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
149,5.88204,5.89197,5.87121,0.0207671,5680,0.94198
150,5.88601,6.01059,5.88494,0.125656,6312,56.0382
151,5.88712,5.93399,5.87869,0.0553,6312,1.09501
152,5.88972,6.1359,5.89566,0.240247,6952,1.1832
153,5.89479,6.04582,5.89796,0.147861,7632,1.33288
154,5.8801,5.94752,5.88623,0.0612886,7632,1.27687
155,5.88598,5.91863,5.8825,0.0361318,7632,1.28411
156,5.8879,5.90755,5.87863,0.0289202,7632,1.28252
157,5.88285,5.90278,5.87671,0.0260636,7632,1.28191
158,5.88299,5.8995,5.87506,0.0244414,7632,1.28292
159,5.88408,5.89789,5.87399,0.0238976,7632,1.28129
160,5.88266,5.89706,5.87383,0.0232288,7632,1.34807
161,5.88353,5.89743,5.87212,0.0253138,7632,1.28439
162,5.8821,5.89291,5.87048,0.0224299,7632,1.28796
163,5.88125,5.892,5.87095,0.0210481,7632,1.27874
164,5.881,5.89054,5.87003,0.0205162,7632,1.28398
165,5.8792,5.89401,5.86896,0.0250443,7632,1.28757
166,5.87977,5.8901,5.8692,0.0208999,7632,1.28625
167,5.87876,5.89238,5.86909,0.0232875,7632,1.28677
168,5.87892,5.88844,5.86761,0.0208215,7632,1.28945
169,5.87936,5.89023,5.86802,0.0222171,7632,1.29138
170,5.87887,5.89051,5.8686,0.0219088,7632,1.28861
171,5.87698,5.891,5.86697,0.0240304,7632,1.2858
172,5.87736,5.88611,5.86645,0.0196579,7632,1.2891
173,5.87579,5.8842,5.86538,0.0188234,7632,1.28735
174,5.87639,5.88648,5.86609,0.0203859,7632,1.28846
175,5.87556,5.88425,5.86531,0.0189367,7632,1.28792
176,5.87701,5.88881,5.86655,0.0222632,7632,1.29118
177,5.87575,5.88426,5.86459,0.0196722,7632,1.29242
178,5.8755,5.88432,5.86481,0.0195108,7632,1.29264
179,5.87525,5.88547,5.86428,0.0211892,7632,1.30058
180,5.87411,5.88298,5.86384,0.0191398,7632,1.29537
181,5.87456,5.88404,5.86426,0.0197839,7632,1.29772
182,5.87327,5.88492,5.86344,0.0214804,7632,1.30337
