epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
150,3.43135,3.85188,3.40437,0.447513,5808,0.32406
151,3.42884,3.8519,3.4019,0.449995,5808,0.3478
152,3.4263,3.84579,3.39987,0.445921,5808,0.34426
153,3.42307,3.87489,3.39881,0.476072,5928,0.38117
154,3.42138,3.85651,3.39584,0.460669,5928,0.33543
155,3.41848,3.84849,3.39435,0.454136,5928,0.32816
156,3.41571,3.87298,3.39055,0.48243,6088,0.40573
157,3.41393,3.89745,3.38872,0.508734,6328,0.38278
158,3.41138,3.9029,3.38755,0.515347,6424,0.38959
159,3.40892,3.87719,3.38598,0.491215,6424,0.41664
160,3.40549,3.86314,3.37993,0.483209,6424,0.36687
161,3.40388,3.85733,3.37939,0.477944,6424,0.43964
162,3.40199,3.85732,3.38022,0.477102,6424,0.39016
163,3.39951,3.85003,3.37706,0.472962,6480,0.38706
164,3.39943,3.84781,3.37496,0.47285,6480,0.40735
165,3.39549,3.85738,3.37284,0.484538,6608,0.4201
166,3.39243,3.85502,3.37069,0.484326,6608,0.38797
167,3.39308,3.84359,3.36939,0.474199,6608,0.37392
168,3.38957,3.84052,3.3677,0.472817,6608,0.41897
169,3.38855,3.82046,3.36581,0.454647,6608,0.38174
170,3.38548,3.81161,3.36436,0.447258,6608,0.36068
171,3.38395,3.82675,3.3624,0.464347,6688,0.4173
172,3.38367,3.83906,3.36079,0.478269,6888,0.40549
173,3.37934,3.82054,3.35894,0.461601,6888,0.38677
174,3.3776,3.81629,3.3576,0.458686,6888,0.39582
175,3.37633,3.80488,3.35595,0.448931,6888,0.44196
176,3.37548,3.80671,3.35675,0.449955,7048,0.40983
177,3.37449,3.81043,3.35322,0.457209,7048,0.40251
178,3.37035,3.8434,3.34793,0.495476,7304,0.48849
179,3.36886,3.8257,3.34729,0.478409,7408,0.45361
180,3.36628,3.82261,3.34383,0.478783,7480,0.44917
181,3.36398,3.8134,3.34228,0.471123,7480,0.42113
182,3.36087,3.80262,3.34069,0.461925,7480,0.47156
183,3.35985,3.78986,3.33905,0.450815,7480,0.51013
184,3.35775,3.78846,3.33772,0.450737,7480,0.47633
185,3.35798,3.7841,3.33734,0.446756,7536,0.45126
186,3.35458,3.78842,3.33491,0.453513,7664,0.45017
187,3.35369,3.78837,3.33359,0.45478,7664,0.4289
188,3.35168,3.7736,3.3319,0.441706,7664,0.4907
189,3.35047,3.78749,3.33025,0.457245,7744,0.49383
190,3.34539,3.81216,3.32661,0.485557,8080,0.48857
191,3.34363,3.80273,3.32398,0.478751,8080,0.50157
192,3.34369,3.79889,3.32249,0.476404,8080,0.53283
193,3.33963,3.78033,3.3232,0.457131,8080,0.48916
194,3.34108,3.80991,3.32077,0.489141,8256,0.56517
195,3.33826,3.81254,3.31866,0.493883,8376,0.51991
196,3.33577,3.80874,3.31726,0.491475,8376,0.51569
197,3.33479,3.79555,3.31556,0.47999,8376,0.52148
198,3.32943,3.82358,3.30544,0.518139,8768,0.54175
199,3.32533,3.81208,3.30404,0.508038,8768,0.57262
200,3.32092,3.80842,3.29954,0.508882,8864,0.55216
201,3.3196,3.80166,3.29926,0.502395,8864,0.60294
202,3.31763,3.79478,3.29747,0.497308,8864,0.54953
203,3.31271,3.79335,3.29406,0.499284,9032,0.56283
204,3.31032,3.79047,3.29378,0.496686,9032,0.52763
205,3.30965,3.79723,3.29205,0.505188,9112,0.54309
206,3.30801,3.78158,3.2921,0.48948,9112,0.53231
207,3.30567,3.78857,3.28951,0.499057,9208,0.55358
208,3.30469,3.77032,3.28826,0.482055,9208,0.53074
209,3.30284,3.75932,3.28723,0.472086,9208,0.57257
210,3.30268,3.75811,3.28548,0.472625,9272,0.55329
211,3.30074,3.74892,3.28546,0.463457,9272,0.58978
212,3.29985,3.7513,3.28395,0.467355,9272,0.66221
213,3.29875,3.75804,3.28343,0.474613,9472,0.70101
214,3.29667,3.74844,3.28206,0.466379,9552,0.57265
215,3.29571,3.73546,3.28105,0.454408,9552,0.50348
